patch_id,governorate,wheat_type,year,yield
78,Deir ez-Zor,hard,2020,1354.5431095986842
79,Homs,hard,2013,3231.2570693130688
80,Quneitra,hard,2014,1565.481620532895
81,Hama,soft,2020,3752.2217298730834
82,Idlib,hard,2012,3995.0407351669737
83,Raqqa,soft,2023,2463.5778571175806
84,Aleppo,hard,2010,3702.1938105698187
85,Idlib,hard,2022,3244.730066586688
86,Daraa,soft,2013,2582.7922665922874
87,Idlib,soft,2023,1947.7866284296872
88,Tartus,soft,2017,566.0249053886928
89,Deir ez-Zor,hard,2020,2817.2657694820036
90,Tartus,hard,2010,2588.530720845218
91,Latakia,hard,2018,3523.835952749291
92,Al-Hasakah,soft,2012,3754.218309495945
93,Latakia,hard,2010,1356.2769629228094
94,Latakia,hard,2014,3075.3638520543386
95,Latakia,hard,2015,3521.7338578548784
96,Raqqa,soft,2022,2467.31704774085
97,Quneitra,soft,2014,2756.4341152082065
98,Raqqa,soft,2019,1864.1396409545703
99,Idlib,soft,2014,1742.063124214584
100,Rif Dimashq,soft,2022,3232.860817497272
101,Homs,soft,2016,1109.6845565360672
102,Rif Dimashq,hard,2019,3058.718084619941
103,Aleppo,soft,2021,1824.2441173101133
104,Tartus,soft,2013,2460.5660142464785
105,Aleppo,soft,2021,1651.0576466505709
106,Al-Hasakah,soft,2016,2968.0840917640367
107,Tartus,soft,2020,3249.299612424442
108,Daraa,hard,2019,1121.2807328418103
109,As-Suwayda,hard,2022,1182.4651917110518
110,As-Suwayda,soft,2019,2386.3975036932097
111,Aleppo,hard,2020,3416.2555771912034
112,Rif Dimashq,hard,2018,1826.7695229912074
113,Al-Hasakah,soft,2013,3276.6177292328352
114,Latakia,soft,2023,2941.047044011044
115,Latakia,hard,2018,2471.7831129062956
116,Latakia,hard,2020,2199.0353929206212
117,Raqqa,hard,2013,1811.9885717073582
118,Tartus,hard,2022,1336.3319383357787
119,Al-Hasakah,soft,2011,1585.6164536384508
120,Homs,hard,2015,2519.0543062976976
121,Al-Hasakah,soft,2013,1493.3669240803645
122,Tartus,hard,2023,3595.685356600842
123,Hama,soft,2021,2799.714288064396
124,Quneitra,soft,2014,3139.2467937501074
125,Al-Hasakah,soft,2021,1999.53451947298
126,Aleppo,soft,2021,3398.32893456899
127,Aleppo,hard,2021,1700.5980096869025
128,Hama,soft,2013,942.1679088943431
129,Raqqa,hard,2010,1805.3746408713714
130,Damascus,hard,2023,1406.6132159108693
131,Aleppo,hard,2016,2060.9768605523823
132,Tartus,hard,2018,952.0251364242506
133,Rif Dimashq,soft,2020,3360.1234457290766
134,Tartus,soft,2021,2163.3048213232714
135,Tartus,hard,2020,2593.793938322292
136,Homs,soft,2023,3402.161259595428
137,Damascus,hard,2010,3934.7609266064387
138,Latakia,hard,2021,2826.836800755539
139,Tartus,hard,2019,3765.141434083342
140,Aleppo,soft,2023,1841.9667269021404
141,Aleppo,soft,2020,3226.387176050789
142,Tartus,hard,2022,2214.079331100507
143,Idlib,hard,2016,563.3292265339498
144,As-Suwayda,soft,2013,3637.2103771437414
145,Quneitra,soft,2020,1223.631595232453
146,Rif Dimashq,soft,2011,628.9405321395602
147,Deir ez-Zor,hard,2011,1556.7411427359195
148,Al-Hasakah,hard,2016,2915.1730317685806
149,Idlib,soft,2017,534.8190401274381
150,As-Suwayda,soft,2018,3634.478698613937
151,Tartus,hard,2013,1697.1295039069391
152,Quneitra,hard,2018,1664.5413612359962
153,Tartus,soft,2015,3348.489985463446
154,Deir ez-Zor,soft,2018,1902.1097573620168
155,Deir ez-Zor,soft,2013,3458.9420402979213
156,Damascus,hard,2023,1781.1295235422128
157,Raqqa,hard,2020,2312.430281571401
158,Raqqa,hard,2017,3308.7829668563677
159,Idlib,soft,2014,1993.532251684453
160,Tartus,hard,2019,2748.063845694385
161,Idlib,hard,2017,2238.810507718583
162,As-Suwayda,hard,2015,3930.883936536821
163,Deir ez-Zor,soft,2020,2783.4324203210253
164,Daraa,soft,2020,3186.767553342278
165,Aleppo,hard,2016,2523.827724630276
166,As-Suwayda,soft,2013,2531.224289281612
167,Latakia,hard,2020,2365.0172698072165
168,Idlib,soft,2010,1855.9170978897757
169,Rif Dimashq,soft,2016,3053.017295365766
170,Latakia,soft,2020,602.2032292676009
171,Homs,hard,2020,3203.3618057894937
172,Daraa,hard,2012,1408.0507965920838
173,Rif Dimashq,hard,2011,3037.953762900018
174,Idlib,hard,2017,2521.205017968299
175,Deir ez-Zor,soft,2019,2390.0168990441284
176,Deir ez-Zor,hard,2017,1309.812711540946
177,Latakia,hard,2020,2976.5546321107363
178,Aleppo,soft,2014,2927.9429529718045
179,Latakia,hard,2016,833.0494215399549
180,Aleppo,hard,2018,3596.0320130618607
181,Idlib,hard,2019,1720.863396656868
182,As-Suwayda,soft,2019,1664.4292821572128
183,Latakia,hard,2020,3820.148623275956
184,Rif Dimashq,soft,2021,3338.598715916178
185,Latakia,soft,2010,3349.4997505483934
186,Rif Dimashq,hard,2014,2549.6876388725873
187,Daraa,soft,2019,2233.475278234573
188,As-Suwayda,hard,2014,975.0230538151155
189,Daraa,soft,2013,2192.551921998642
190,Latakia,soft,2013,2909.180892418686
191,Homs,hard,2023,2090.4976615011637
192,Latakia,soft,2023,2090.4113088108065
193,Daraa,soft,2011,2265.701526446758
194,Quneitra,soft,2010,3248.61163289779
195,Damascus,soft,2023,2443.2937964975754
196,Idlib,hard,2021,1997.16220517624
197,Hama,hard,2020,935.1593426295119
198,Tartus,hard,2023,962.7566604780657
199,Hama,soft,2022,1766.1220664948223
